# X(mm) Y(mm) Z(mm)
242.945 605.790 94.992
243.510 660.199 95.022
244.644 603.990 95.193
244.743 662.369 95.030
244.497 486.677 94.929
244.326 483.257 94.851
245.022 610.041 95.079
248.275 660.966 95.319
248.275 660.966 95.319
248.510 662.423 95.067
249.631 619.422 95.188
250.119 663.275 95.032
251.046 661.509 95.021
251.193 619.224 95.049
251.193 619.224 95.049
251.537 660.511 95.066
251.537 660.511 95.066
253.240 656.087 95.040
254.684 605.221 94.989
261.064 674.477 95.123
261.064 674.477 95.123
261.321 482.186 95.031
262.896 673.979 95.084
268.759 484.116 95.659
270.673 483.600 95.732
273.954 484.529 95.273
275.665 482.030 95.749
275.974 686.182 95.648
276.463 682.405 95.351
276.999 644.365 95.267
277.108 485.513 95.257
277.142 555.963 95.229
277.205 583.184 95.187
277.389 585.876 95.249
277.389 585.876 95.249
278.091 630.426 95.275
278.091 630.426 95.275
278.044 633.515 95.242
278.288 631.724 95.307
278.528 680.941 95.355
278.990 523.019 95.510
278.789 679.342 95.354
278.557 589.447 95.266
279.101 527.631 95.437
278.564 636.261 95.241
280.915 687.555 95.636
283.479 597.420 96.317
282.349 685.915 95.653
284.208 686.954 96.059
338.828 558.251 109.617
452.699 778.864 111.884
454.346 778.202 111.778
457.860 678.636 111.995
458.644 628.341 111.956
458.973 656.081 111.974
459.557 698.033 111.769
460.353 426.873 111.925
459.255 440.257 111.661
461.245 690.666 111.944
461.245 690.666 111.944
460.877 342.604 111.812
462.441 714.986 112.134
462.738 648.134 112.141
462.242 665.543 111.998
462.221 650.196 111.970
462.122 643.546 111.890
462.645 625.367 111.958
462.499 631.327 111.851
461.609 341.074 111.599
462.821 769.202 111.808
461.657 346.630 111.474
466.800 627.898 111.869
466.800 627.898 111.869
466.001 338.082 111.406
469.150 542.372 112.105
476.755 710.091 113.725
469.370 698.725 111.966
470.925 665.846 112.047
471.680 696.573 112.167
471.274 631.235 112.004
471.168 688.775 111.928
471.513 692.144 112.007
472.004 668.645 112.062
469.343 365.698 111.425
471.961 699.490 112.023
472.351 651.765 112.094
471.380 492.924 111.855
472.708 658.625 112.160
472.398 654.445 112.063
472.948 640.907 112.034
473.235 610.494 112.090
471.739 342.100 111.521
475.140 645.459 112.302
473.299 473.378 111.839
473.570 339.769 111.612
474.042 494.538 111.683
475.971 634.568 112.052
475.245 522.258 111.846
475.337 457.211 111.768
476.498 472.949 111.733
476.498 472.949 111.733
475.057 364.755 111.337
475.057 364.755 111.337
477.318 368.021 111.807
477.631 473.830 111.773
477.390 364.939 111.515
479.950 579.770 112.100
478.982 340.920 111.808
479.564 345.948 111.818
478.379 359.146 111.388
481.651 548.923 112.120
480.460 361.093 111.653
479.586 348.608 111.436
481.956 776.752 111.906
481.825 454.715 111.872
483.742 639.445 112.149
481.685 341.290 111.613
484.132 627.618 112.165
485.298 617.359 112.072
483.497 340.177 111.633
487.354 648.383 112.211
487.707 624.536 112.094
488.682 662.272 112.253
488.682 662.272 112.253
488.641 688.399 112.217
486.588 344.669 111.613
489.337 691.505 112.172
489.891 672.118 112.294
489.462 591.894 112.173
492.594 595.082 112.273
492.594 595.082 112.273
489.300 347.426 111.389
490.973 367.674 111.677
495.310 697.698 112.456
495.039 697.140 112.366
496.983 695.179 112.458
495.678 534.981 112.087
497.622 647.765 112.352
497.787 659.111 112.388
497.787 659.111 112.388
495.512 347.895 111.749
498.041 754.132 112.266
497.779 334.891 112.017
497.044 348.199 111.688
499.867 725.506 112.269
499.880 581.503 112.109
499.817 755.221 112.048
500.869 498.154 112.197
502.011 761.967 112.175
502.086 490.837 112.111
503.405 564.146 112.312
503.405 564.146 112.312
504.305 550.831 112.232
504.400 754.798 112.238
504.400 754.798 112.238
501.534 351.671 111.546
504.759 546.535 112.209
504.434 780.466 112.062
504.683 507.248 112.116
504.067 349.601 111.628
507.319 735.988 112.278
507.770 743.300 112.301
506.228 498.855 111.910
507.910 748.103 112.228
507.152 783.046 111.987
509.104 613.997 112.269
510.523 511.014 112.200
510.171 776.134 112.113
510.171 776.134 112.113
510.293 533.347 112.135
507.378 362.993 111.448
511.590 482.296 112.282
510.808 357.866 111.649
512.692 475.703 112.051
512.910 492.343 112.056
513.573 780.904 112.192
514.171 532.341 112.244
514.003 786.667 112.143
513.795 772.733 112.097
514.572 485.062 112.138
515.756 728.872 112.351
513.405 355.820 111.743
513.300 355.714 111.710
513.752 359.834 111.636
516.296 784.519 112.154
